Item	Score
governments	0.2287
vaccine effectiveness	0.228
combat coronavirus	0.2263
herd immunity	0.2254
australia	0.225
healthcare workers	0.2247
pfizer	0.2247
coronavirus briefing	0.2244
mandatory vaccines	0.2243
covid variants	0.2243
news	0.2243
fear	0.2236
police	0.2235
delta	0.223
healthcare	0.2221
control pandemic	0.2218
mrna vaccines	0.2216
wuhan coronavirus	0.2216
covid covid	0.2208
democrats	0.2206
president biden	0.2205
numbers	0.2205
god	0.2204
president	0.2202
world	0.2192
coronavirus relief legislation	0.2189
vaccine doses	0.2182
test	0.2179
icu	0.2178
govt	0.2178
help	0.2175
south africa	0.2174
white house	0.2174
covid lockdowns	0.2174
coronavirus #	0.2171
christmas parties	0.2167
experts	0.2164
communities	0.2164
safety	0.2156
media	0.2156
history	0.2154
texas	0.2151
scientists	0.2148
social distance	0.2144
chinas response	0.2144
corona pandemic	0.2143
congress	0.2142
california	0.2138
usa	0.2137
england	0.2133
action	0.2132
fauci	0.213
office	0.2129
covid patient	0.2129
getting covid	0.2119
rural india	0.2119
teachers	0.2119
covid testing	0.2118
breakthrough cases	0.2116
new zealand	0.2115
case numbers	0.2115
ambulance drivers	0.2106
parents	0.2106
covid symptoms	0.2104
loved ones	0.2103
medical oxygen	0.2103
republicans	0.2098
oxygen cylinders	0.2095
access	0.2093
vaccine rollout	0.2087
johnson	0.2083
election day	0.2082
how many people	0.2079
fighting covid	0.2075
vaccine efficacy	0.2074
immunity	0.2074
rising covid cases	0.2072
updated covid insights	0.2071
black fungus	0.2067
coronavirus infections	0.2062
confirmed coronavirus cases	0.2049
vaccine immunity	0.2046
gop	0.2046
nurses	0.2044
scotland	0.2041
ppe	0.2039
coronavirus relief	0.2039
fact	0.2038
law	0.2035
vaccination status	0.2032
restaurants	0.2029
new coronavirus strain	0.2026
covid lies	0.2021
london	0.2021
freedom	0.2021
spread	0.2018
final year students	0.2016
board exams	0.2015
course	0.2013
homes	0.2013
ivermectin	0.2011
politics	0.201
citizens	0.2008
flu	0.2004
transmission	0.2002
coronavirus fear	0.1999
coronavirus virus	0.1996
oxygen support	0.1992
care homes	0.199
covid covid covid	0.199
twitter	0.1989
health care workers	0.1986
coronavirus case	0.1981
night	0.1979
johnson vaccine	0.1977
covid crisis	0.1976
republican	0.1974
education	0.1971
germany	0.1968
hours	0.1967
covid19 vaccines	0.1966
lots	0.1966
covid19 pandemic	0.1964
questions	0.196
outbreak	0.196
covid test	0.1959
min age limit	0.1956
society	0.1951
oxygen cylinder	0.1948
covid booster shots	0.1947
covid boosters	0.1945
so many people	0.1943
new covid-19 cases	0.1943
evidence	0.1943
red china	0.1943
covid recovery patient	0.1942
information	0.1939
italy	0.1938
coronavirus disease	0.1938
passports	0.1936
need	0.1934
disabled people	0.1932
hundreds	0.1932
rioters	0.1929
vax	0.192
date	0.1914
common people	0.1913
confirmed cases	0.1909
covid relief checks	0.1909
shit	0.1908
covid shots	0.1904
omicron wave	0.1903
covid situation	0.1903
indian	0.1902
home tests	0.1901
normal people	0.1895
humanity	0.1892
coronavirus prevention	0.1892
nyc	0.1891
africa	0.1891
china coronavirus	0.1889
vaccine deaths	0.1888
oxygen level	0.1887
second lockdown	0.1885
new covid strain	0.1884
contact	0.188
boxing day	0.1879
nursing home deaths	0.1875
cancer	0.1872
new coronavirus variant	0.1871
chinas government	0.187
coronavirus spread	0.1867
coronavirus spike	0.1867
age	0.1866
anti-asian	0.1865
us coronavirus response	0.1863
lack	0.1862
pfizer vaccine	0.1861
new covid variant	0.1861
hospitalizations	0.1859
previous variants	0.1857
coronavirus sufferers	0.1856
employees	0.1855
covid origins	0.1854
judge barrett	0.1853
exam centre	0.1852
crisis	0.1849
economy	0.1846
corona cases	0.1844
september	0.1843
covid misinformation	0.184
covid recovered patient	0.184
coronavirus task force	0.1839
new york city	0.1837
home order	0.1837
vaxxed people	0.1837
exams	0.1836
france	0.1834
health workers	0.1833
fda	0.1833
election rallies	0.1833
booster	0.1833
covid hospitalization	0.1832
lies	0.1829
coronavirus treatment	0.1829
possible coronavirus	0.1829
relief	0.1828
primary number	0.1828
covid recovery	0.1828
man	0.1825
delhi	0.1824
covid-19 vaccine	0.1823
new strain	0.1822
covid19 cases	0.1819
white people	0.1818
st.	0.1818
student lives	0.1815
coronavirus panic	0.1814
home orders	0.1813
thanks	0.1809
shots	0.1807
coronavirus cases spike	0.1805
folks	0.1801
d.c.	0.1799
home covid tests	0.1797
vaccine safety	0.1795
russia	0.1795
japan	0.1794
politicians	0.1794
rules	0.1792
ways	0.1792
no covid passports	0.1792
health officials	0.1783
covid19 patients	0.1783
hands	0.178
christmas day	0.1777
summer	0.1777
adults	0.1775
vaccine clinics	0.1774
avoidable covid deaths	0.1774
vaxxers	0.177
positive cases	0.1769
rodgers	0.1766
social distancing rules	0.1764
coronavirus lockdowns	0.1763
cnn	0.1762
new years	0.1761
china army 🇨🇳	0.1759
rapid tests	0.1758
vaccine injuries	0.1758
travel	0.1758
vaccine boosters	0.1758
covid spread	0.1757
astrazeneca vaccine	0.1756
pfizer coronavirus vaccine	0.1756
officials	0.1752
covid status	0.1751
us coronavirus deaths	0.1751
pakistan	0.1746
brexit	0.1746
coronavirus victims	0.1741
facts	0.174
working people	0.174
ontario	0.1739
moderna	0.1739
global pandemic	0.1738
jee exams	0.1736
senate	0.1735
half	0.1734
covid virus	0.1732
sars	0.1731
first case	0.1729
merry christmas	0.1728
omicron infections	0.1727
monoclonal antibody treatment	0.1727
ppl	0.1725
healthy people	0.1723
difficult times	0.1723
covid infection	0.1721
decades	0.172
death toll	0.1716
residents	0.1712
coronavirus restrictions	0.1711
suspected coronavirus	0.171
new #coronavirus	0.1709
wh coronavirus briefing	0.1708
good news	0.1705
covid surge	0.1705
student	0.1704
covid spikes	0.1704
britain	0.1702
coronavirus |	0.1699
poverty	0.1698
doses	0.1694
covid passport mandates	0.1693
positive illegal immigrants	0.1693
covid management	0.1692
public schools	0.1692
covid aid	0.1692
coronavirus symptoms	0.1691
covid funds	0.169
research	0.1688
covid lockdown	0.1684
winter	0.1681
study	0.168
thanksgiving	0.1678
covid treatment	0.1677
covid bill	0.1676
covid jab	0.1673
covid hospitals	0.1672
sense	0.1669
washington	0.1668
essential workers	0.1667
variant	0.1667
pre-pandemic levels	0.1666
recovery	0.1664
fully vaccinated people	0.1662
school mask mandates	0.1659
attention	0.1659
new restrictions	0.1658
misinformation	0.1658
new deaths	0.1657
companies	0.1657
biden vaccine	0.1656
lockdown rules	0.1655
covid-19 pandemic	0.1655
daily covid deaths	0.1652
charge	0.1652
social justice	0.1651
bidens vaccine mandate	0.165
men	0.1647
covid era	0.1647
memorial day	0.1646
billions	0.1645
breakthrough covid	0.1644
pre covid	0.1644
coronavirus scare	0.1644
killer coronavirus	0.1644
vaccine passport	0.1643
british	0.1643
wuhan china	0.1641
novel #coronavirus	0.164
coronavirus infection	0.1637
sweden	0.1636
israel	0.1633
rapid covid tests	0.163
brazil	0.163
covid passport	0.1628
ron desantis	0.1627
relief bill	0.1626
members	0.1625
concerns	0.1624
hospitalization	0.1622
covid jabs	0.1621
wuhan residents	0.1621
indian variant	0.162
covid response	0.1619
chinese people	0.1619
wuhan #coronavirus	0.1618
water	0.1616
rich people	0.1615
hope	0.1613
antibodies	0.1613
line	0.1612
reports	0.161
humans	0.161
public	0.1609
nsw	0.1607
b.c.	0.1606
coronavirus test kits	0.1606
china flights	0.1604
communist china	0.1602
covid folks	0.1601
south korea	0.16
covid contracts	0.1599
covid19 palliatives	0.1598
services	0.1597
covid rates	0.1593
pride month	0.1593
hong kong	0.1591
coronavirus threats	0.159
leadership	0.1589
coronavirus vaccine mandates	0.1588
china 🇨🇳	0.1586
places	0.1585
christmas	0.1583
covid fatigue	0.1582
dr. anthony fauci	0.1581
negative covid tests	0.1581
mandatory vaccination	0.1577
ventilators	0.1576
covid stats	0.1575
mid-february	0.1575
ireland	0.1572
medicine	0.1571
plans	0.157
results	0.1568
end	0.1568
older people	0.1567
dose1 capacity	0.1566
symptomatic covid infection	0.1566
unemployment	0.156
disease	0.1559
positive coronavirus cases	0.1558
china border	0.1556
love	0.1554
violence	0.1552
local lockdown	0.1552
us coronavirus cases	0.155
new covid hospitalizations	0.1548
freedom day	0.1545
terms	0.1545
kumbh	0.1544
post covid	0.1543
new available appointments	0.1542
l.a.	0.1541
china town	0.1541
full lockdown	0.1539
vaccine papers	0.1536
palliatives	0.1536
new coronavirus infections	0.1535
ccp	0.1534
proof	0.1533
reality	0.1533
vaccination rates	0.1532
u.s	0.1532
nigeria	0.1531
covid regulations	0.153
democrat	0.153
hell	0.153
mandate	0.153
experimental vaccines	0.1529
coronavirus outbreaks	0.1527
covid prevention kits	0.1526
n95 masks	0.1524
outbreaks	0.1524
national lockdown	0.1524
child deaths	0.1523
isolation	0.1517
high risk	0.1516
new covid variants	0.1515
covid measures	0.1514
enough vaccines	0.1514
prison	0.1514
face	0.1514
coronavirus antibody tests	0.1513
justice	0.1512
victoria	0.1511
war	0.1511
protection	0.1511
pfizers coronavirus vaccine	0.1511
mind	0.151
coronavirus emergency	0.151
covid tech acceleration	0.1507
delta covid variant	0.1506
black lives	0.1506
report	0.1506
american soldiers	0.1506
fake news	0.1505
dr. susan moore	0.1505
covid hospital	0.1504
new covid rules	0.1504
positive covid cases	0.1503
oxygen	0.1503
anthony fauci	0.1502
covid norms	0.1501
covid deniers	0.1499
western nsw	0.1499
myanmar people	0.1495
severe illness	0.1492
poor people	0.149
plasma	0.149
covid vaccine rollout	0.1489
issues	0.1488
wales	0.1487
examinations	0.1487
coronavirus campaign ads	0.1485
ugc	0.1483
dose2 capacity	0.1482
coronavirus relief efforts	0.148
no covid	0.1479
house	0.1479
cuomo	0.1479
social distancing guidelines	0.1479
school reopenings	0.1479
lockdown restrictions	0.1478
georgia	0.1478
death rates	0.1476
new record	0.1476
free covid tests	0.1474
earth	0.1474
use	0.1474
video	0.1473
compartment exam	0.1473
second coronavirus death	0.1473
spain	0.1471
death %	0.1471
new years eve	0.147
racism	0.147
black lives matter	0.1469
suspected coronavirus case	0.1469
perdue	0.1469
covid reasons	0.1468
covid hospitalisations	0.1468
neet	0.1467
coronavirus death rate	0.1467
canadians	0.1464
exam centers	0.1463
coronavirus lies	0.1463
second wave	0.1461
chinese mainland	0.146
coronavirus vaccine doses	0.1459
dr. conley	0.1458
vaccine appointments	0.1457
omicron patients	0.1456
covishield	0.1456
severe disease	0.1455
younger people	0.1455
anti mask	0.1452
fruits	0.1452
covid vaccine passports	0.1451
election	0.145
covid policy	0.1446
cities	0.1446
parties	0.1446
alberta	0.1443
fans	0.1443
memorial day weekend	0.1443
blood clots	0.1442
oxygen supply	0.1441
texas covid cases	0.144
covid death	0.1439
covid delta	0.1439
possible coronavirus symptoms	0.1439
combat covid	0.1438
new covid restrictions	0.1437
weapons	0.1437
public health measures	0.1435
covid appropriate behaviour	0.1434
virus outbreak	0.1434
evil	0.1434
michigan	0.1432
inflation	0.1432
admin coronavirus response	0.1431
jail	0.1429
events	0.1427
vaccine apartheid	0.1426
covid19 vaccine	0.1426
fox news	0.1425
side effects	0.1425
pre-existing conditions	0.1424
elections	0.1422
loeffler	0.1422
jab	0.1421
president donald trump	0.1421
insights	0.142
new %	0.142
fake vaccine cards	0.1419
coronavirus exposure	0.1417
covid ward	0.1415
covid care	0.1415
indoor mask mandates	0.1414
covid policies	0.1413
full vaccination	0.1412
covid care centre	0.1412
vice president biden	0.1412
national health commission	0.141
high time	0.1409
mexico	0.1409
negative covid test	0.1409
icu bed	0.1408
parliament	0.1407
individuals	0.1407
unvaccinated patients	0.1406
democracy	0.1406
jee	0.1404
trace	0.1403
religious exemptions	0.1402
global vaccine equity	0.1401
xmas	0.1401
trans people	0.1401
spring break	0.14
frontline workers	0.1399
covid complications	0.1399
chinese virus	0.1398
vaccine equity	0.1398
china daily	0.1397
peoples	0.1396
local lockdowns	0.1394
covid issues	0.1393
full approval	0.1393
new appointments	0.1392
symptomatic covid	0.1391
daily covid cases	0.1391
stimulus checks	0.1391
china line	0.139
weekly	0.1389
risks	0.1389
blm protests	0.1388
beds	0.1387
concern	0.1386
astrazeneca coronavirus vaccine	0.1386
supreme court	0.1385
hospital beds	0.1385
unvaccinated children	0.1385
patient name	0.1385
survival checks	0.1385
florida covid cases	0.1384
ppp covid relief	0.1383
astrazeneca	0.1382
patient	0.1382
cvs	0.1382
tier	0.1381
dr. li	0.1381
capita	0.138
spread covid	0.138
bat coronavirus research	0.1379
facebook	0.1379
effective vaccines	0.1379
pfizer covid-19 vaccine	0.1378
federal coronavirus aid	0.1377
coronavirus numbers	0.1377
resources	0.1375
ages	0.1375
function	0.1374
suspected cases	0.1374
w/ covid	0.1372
sir	0.1372
old people	0.1372
student life	0.1372
reported covid-19 cases	0.1372
first lockdown	0.1371
covid data	0.1371
way	0.1371
kcet exam	0.1371
mumbai	0.137
origin	0.137
new covid-19 deaths	0.137
prior covid	0.1369
omicron coronavirus variant	0.1369
hospital bed	0.1368
sen. mike lee	0.1368
sep	0.1367
american lives	0.1366
population %	0.1366
vaxxer	0.1364
south china	0.1364
breakthrough infections	0.1363
dr. birx	0.1363
mail	0.1362
human life	0.1359
protests	0.1359
measures	0.1359
public health experts	0.1357
icu beds	0.1357
contact number	0.1356
public health officials	0.1355
bc covid	0.1355
pcr tests	0.1354
population	0.1354
fuck covid	0.1354
coronavirus update	0.1354
wuhan province	0.1354
family members	0.1353
voters	0.1353
moderna vaccine	0.1353
physical distancing	0.1352
bapuji	0.1352
covid vaccination mandates	0.1351
rsv	0.1351
active covid cases	0.135
covid pass	0.1348
loss	0.1348
covid control	0.1348
severe cases	0.1347
covid passport requirements	0.1347
common sense	0.1346
public school teachers	0.1346
health experts	0.1345
elderly people	0.1344
how bad covid	0.1344
dr. seuss	0.1342
mask mandate	0.1341
responsibility	0.1341
compartment exams	0.134
new jersey	0.1339
vaccinated individuals	0.1339
unvaccinated kids	0.1338
english	0.1337
endsars	0.1337
medical facilities	0.1336
public health advice	0.1336
covid survivors	0.1335
christmas eve	0.1334
covid disinformation	0.1334
omicron covid variant	0.1333
covid laws	0.1333
school boards	0.1333
peace	0.1333
canadian	0.1333
crisis standards	0.1333
distancing	0.1332
pregnant people	0.1331
real people	0.1331
obama	0.1331
daily cases	0.133
second covid wave	0.133
trump supporters	0.133
funds	0.133
covid bed	0.133
next month	0.1329
neet/jee exams	0.1329
chinas hubei province	0.1329
normal times	0.1328
zero covid	0.1327
classes	0.1327
covid hysteria	0.1327
aug	0.1326
covid duty	0.1326
first time	0.1325
oxygen shortage	0.1325
amy coney barrett	0.1323
effect	0.1322
games	0.1321
cloth masks	0.1319
face mask	0.1319
positive tests	0.1318
omicron virus	0.1317
students life	0.1316
iran	0.1314
lucky covid	0.1314
self isolation	0.1314
los angeles	0.1313
vaccine production	0.1313
china virus	0.1313
covid19 crisis	0.1313
sick people	0.1312
social distancing measures	0.1312
students unity	0.1312
novel coronavirus patients	0.1312
vaccination mandates	0.1312
vaccine patents	0.1311
coronavirus shutdown	0.1311
bill gates	0.1309
arizona	0.1309
blood component	0.1309
child	0.1309
coronavirus rules	0.1309
warnock	0.1309
covid booster	0.1308
covid law	0.1307
non-covid deaths	0.1307
hubei province	0.1307
vulnerable people	0.1304
big pharma	0.1303
omicron threat	0.1303
prior covid disease	0.1303
covid transmission	0.1302
coronavirus briefings	0.1301
game	0.1298
chinas coronavirus	0.1298
new #covid19 cases	0.1297
covid vaccine boosters	0.1296
such people	0.1296
vaccine supply	0.1295
labor day	0.1295
guidelines	0.1294
excess deaths	0.1293
covid guidelines	0.1293
secondary number	0.1293
new strains	0.1293
comedk exam	0.1293
chinese new year	0.1293
corruption	0.1292
covid hotspots	0.1292
final year exams	0.1291
sept	0.129
mandatory masks	0.129
arabs	0.1289
human rights	0.1288
campus	0.1288
covid admissions	0.1288
covid vax	0.1287
court	0.1287
mainland china 🇨🇳	0.1287
such pandemic	0.1286
rent	0.1286
santa	0.1286
dr. catherine oneal	0.1284
asymptomatic people	0.1283
funding	0.1283
bars	0.1282
protocols	0.1282
covid resources	0.1281
innocent people	0.128
booster doses	0.1279
record	0.1277
aides	0.1277
covid victims	0.1276
danger	0.1276
direct relief	0.1276
covid update	0.1275
blue states	0.1274
third wave	0.1274
active covid patients	0.1274
high school	0.1273
rising cases	0.1273
florida hospitals	0.1273
cov-2	0.1273
oxygen supplies	0.1272
coronavirus trajectories	0.1272
free vaccines	0.1271
australian	0.1271
coronavirus relief bill	0.1271
trump wh	0.127
omicron surge	0.1269
desantis	0.1269
health insurance	0.1268
leaders	0.1268
change	0.1268
covid waves	0.1267
state medical boards	0.1266
ongoing pandemic	0.1266
melbourne	0.1265
supplies	0.1264
offline exams	0.1263
toronto	0.1263
rally	0.1263
unvaxxed people	0.1262
aged care	0.1262
managing covid	0.1261
surge	0.126
hand	0.1259
surviving covid	0.1259
school children	0.1258
pres. trump	0.1258
anxiety	0.1256
neet exam	0.1256
blood	0.1255
tulsa rally	0.1255
wuhan hospitals	0.1255
presidents	0.1255
예왕 #	0.1254
home isolation	0.1254
ade	0.1254
light	0.1253
bills	0.1253
service	0.1252
ordinary people	0.1251
weekend lockdown	0.125
normal life	0.1249
corona vaccine	0.1249
philippines	0.1249
ventilation	0.1249
non-asian	0.1249
nhs staff	0.1248
chinas deadly coronavirus	0.1248
mandatory vaccinations	0.1246
pakistani students	0.1246
ossoff	0.1246
covid-19 vaccinations	0.1243
severe covid-19	0.1243
truth	0.1243
sick days	0.1243
wuhan hospital	0.1243
coronavirus coronavirus	0.1243
booster jabs	0.1242
oxygen concentrators	0.1242
free covid testing	0.1242
chinas coronavirus epidemic	0.1242
wuhan flu	0.1242
looters	0.1242
hydroxychloroquine	0.1241
virology	0.1241
serious illness	0.124
southern africa	0.124
gov. desantis	0.124
contact tracing	0.1239
maharashtra	0.1239
documented cases	0.1239
diamond princess	0.1239
american deaths	0.1238
west nile virus	0.1238
greater noida	0.1236
state health officials	0.1236
pandemic lockdowns	0.1234
afghan	0.1234
dead people	0.1234
boris	0.1233
southern china	0.1233
details	0.1232
income	0.1231
job	0.1231
community	0.123
johnson covid-19 vaccine	0.123
covid19 deaths	0.123
mr. president	0.123
south dakota	0.1228
efforts	0.1228
morrison	0.1227
covid nurses	0.1227
working class people	0.1227
covid days	0.1226
mask requirements	0.1226
taiwan	0.1226
barrett	0.1226
mr. trump	0.1226
function research	0.1225
el paso county	0.1225
hubei	0.1225
years eve	0.1224
track	0.1224
covid centres	0.1224
covid precautions	0.1223
paid sick days	0.1223
private schools	0.1223
covid-19 cases	0.1222
emergency	0.1221
kabul	0.1221
coronavirus damages	0.1221
coronavirus outbreak |	0.1221
suicide	0.122
voting	0.1219
cdc reports	0.1219
health professionals	0.1219
covid outbreaks	0.1218
rallies	0.1218
several people	0.1218
gladys	0.1218
covid origin	0.1217
cdc guidelines	0.1217
neet jee exams	0.1217
distribution	0.1216
american people	0.1216
covid19help	0.1216
new yorkers	0.1214
situation	0.1213
suspected covid	0.1213
melania	0.1213
asymptomatic cases	0.1212
coronavirus risk	0.1211
andrew cuomo	0.121
future pandemics	0.121
kerala	0.121
dollars	0.121
problems	0.121
importance	0.121
central china	0.121
obese people	0.1209
covid facilities	0.1209
pan india	0.1208
matt hancock	0.1207
first week	0.1207
bjp	0.1207
failure	0.1207
pregnant women	0.1206
heart inflammation	0.1206
capacity	0.1206
peoples lives	0.1205
word	0.1205
trump campaign	0.1205
coronavirus spreads	0.1205
horse dewormer	0.1204
homeless people	0.1204
long-covid	0.1204
nov. 3rd	0.1204
sen. david perdue	0.1203
no masks	0.1202
drivers	0.1202
universal vaccines	0.1201
trump rallies	0.1201
season	0.12
jabs	0.12
coronavirus survival rate	0.1199
modi	0.1199
update	0.1199
exam hall	0.1199
cegah coronavirus	0.1199
school board	0.1199
policies	0.1198
donald trump tests	0.1198
another lockdown	0.1197
site	0.1197
highest number	0.1196
advice	0.1196
demand	0.1196
customers	0.1196
deathsantis	0.1195
greater sydney	0.1193
unvaccinated covid-19 patients	0.1193
vote	0.1193
neet jee	0.1193
ganga	0.1193
first coronavirus patient	0.1193
covid test kits	0.1192
doctor	0.1192
uk variant	0.1191
covid tyranny	0.1191
current vaccines	0.1191
color	0.119
covishield vaccine	0.119
treatments	0.119
coronavirus bailout money	0.119
vaccine inequity	0.1189
students lives	0.1189
reported cases	0.1188
chinas coronavirus response	0.1188
gain	0.1187
immediate relief	0.1187
spikes	0.1187
new data	0.1185
medical care	0.1185
malaysia	0.1185
daily deaths	0.1185
neet-jee	0.1185
polio outbreak	0.1185
recovery rate	0.1185
corona virus outbreak	0.1185
coronavirus jokes	0.1185
confirmed omicron cases	0.1184
tulsa	0.1184
free education	0.1184
pfizer covid vaccine	0.1184
county	0.1184
record number	0.1184
vaccinated folks	0.1183
flights	0.1183
bail	0.1183
coronavirus aid	0.1183
infectious diseases	0.1182
bed	0.1182
fire	0.1181
laws	0.1181
prevention	0.118
covid variant	0.118
record numbers	0.1179
mitch mcconnell	0.1179
night curfew	0.1179
favour	0.1179
public health orders	0.1178
half covid patients	0.1177
awareness	0.1177
exposure	0.1177
stuff	0.1177
checks	0.1177
covid19 transmission	0.1177
public transport	0.1176
annual	0.1176
orders	0.1176
public health guidelines	0.1175
johnson covid-19	0.1175
centre	0.1175
anti-chinese	0.1175
european	0.1174
coronavirus relief money	0.1174
units	0.1173
vax deaths	0.1173
student debt	0.1173
body	0.1173
johns hopkins university	0.1172
first day	0.1172
fun	0.1172
policy	0.1172
allergic reactions	0.1172
russian	0.1171
first cases	0.1171
entry	0.117
reported coronavirus cases	0.117
chinas economy	0.117
sight	0.1169
drugs	0.1169
covid test results	0.1169
moderna covid vaccines	0.1168
coronavirus death count	0.1168
first death	0.1168
gov. abbott	0.1167
medicare	0.1167
home schooling	0.1167
new #coronavirus cases	0.1166
classrooms	0.1165
indias covid crisis	0.1164
indoors	0.1163
unvaccinated adults	0.1163
complications	0.1162
updates	0.1162
boards	0.1162
national exams	0.1162
no vaccine	0.1161
triple jabbed	0.1161
pandemic relief	0.1161
young kids	0.1161
mild cases	0.116
governors	0.116
vaccinated patients	0.116
party	0.116
new lockdown	0.1158
coronavirus masks	0.1158
young children	0.1157
vaccine shortages	0.1157
west delhi	0.1156
benefits	0.1156
medical supplies	0.1155
pneumonia	0.1155
riots	0.1155
board exam	0.1155
oxygen bed	0.1155
vaccine risks	0.1154
september 14th	0.1153
animals	0.1153
nfl	0.1152
air	0.1152
chicago	0.1152
maharashtra government	0.1152
players	0.1151
class	0.1151
state govt	0.1151
coronavirus updates	0.1151
no social distancing	0.115
gov. ron desantis	0.115
k-12 schools	0.115
mcconnell	0.115
protest	0.115
max🚨	0.115
aaron rodgers	0.1149
heart disease	0.1149
bbc	0.1149
hospitalisations	0.1149
south delhi	0.1149
eviction	0.1147
offices	0.1147
wuhan lab	0.1146
infected people	0.1146
social security	0.1146
new infections	0.1145
chinese state media	0.1145
scottish	0.1144
dose	0.1144
bame people	0.1144
woodward	0.1143
gyms	0.1143
coronavirus relief funds	0.1143
double jabbed	0.1142
mandate masks	0.1142
covid19 #vaccine	0.1142
campaign	0.1142
analytics	0.1142
hospital capacity	0.1142
president joe biden	0.1141
intensive care	0.114
